date,location,dbl_time,dbl_time_lwr,dbl_time_upr,day_deaths
2020-04-03,Brasil,3.58,3.4,3.76,7
2020-04-04,Brasil,3.53,3.39,3.69,8
2020-04-05,Brasil,3.67,3.38,4.03,9
2020-04-05,São Paulo,4.56,4.05,5.22,7
2020-04-06,Brasil,4.03,3.62,4.54,10
2020-04-06,São Paulo,5.15,4.44,6.11,8
2020-04-07,Brasil,4.22,3.81,4.73,11
2020-04-07,São Paulo,5.34,4.69,6.18,9
2020-04-08,Brasil,4.37,4.06,4.74,12
2020-04-08,São Paulo,5.28,4.63,6.14,10
2020-04-09,Brasil,4.37,4.06,4.74,13
2020-04-09,São Paulo,5.18,4.52,6.06,11
2020-04-10,Brasil,4.44,4.1,4.84,14
2020-04-10,São Paulo,5.23,4.55,6.14,12
2020-04-11,Brasil,4.67,4.06,5.5,15
2020-04-11,São Paulo,5.43,4.52,6.81,13
2020-04-12,Brasil,5.24,4.29,6.73,16
2020-04-12,São Paulo,6.39,4.87,9.3,14
2020-04-13,Brasil,6.28,5.11,8.13,17
2020-04-13,São Paulo,8.67,6.42,13.33,15
2020-04-14,Brasil,6.97,6.05,8.23,18
2020-04-14,Rio de Janeiro,5.96,5.13,7.11,7
2020-04-14,São Paulo,9.97,7.81,13.79,16
2020-04-15,Brasil,7.1,6.25,8.21,19
2020-04-15,Rio de Janeiro,5.77,4.88,7.06,8
2020-04-15,São Paulo,10.02,7.87,13.78,17
2020-04-16,Brasil,6.73,5.91,7.8,20
2020-04-16,Rio de Janeiro,5.56,4.68,6.86,9
2020-04-16,São Paulo,8.84,6.96,12.09,18
2020-04-17,Brasil,6.26,5.79,6.8,21
2020-04-17,Rio de Janeiro,5.05,4.58,5.62,10
2020-04-17,São Paulo,7.74,6.58,9.41,19
2020-04-18,Brasil,6.18,5.79,6.64,22
2020-04-18,Rio de Janeiro,4.91,4.57,5.31,11
2020-04-18,São Paulo,7.42,6.56,8.53,20
2020-04-19,Brasil,6.65,5.81,7.78,23
2020-04-19,Pernambuco,5.29,4.47,6.47,7
2020-04-19,Rio de Janeiro,5.35,4.57,6.46,12
2020-04-19,São Paulo,8.01,6.56,10.29,21
2020-04-20,Brasil,7.87,6.59,9.78,24
2020-04-20,Ceará,6.18,5.16,7.69,7
2020-04-20,Pernambuco,6.06,4.89,7.97,8
2020-04-20,Rio de Janeiro,6.49,5.25,8.52,13
2020-04-20,São Paulo,10.31,7.95,14.67,22
2020-04-21,Amazonas,6.87,5.29,9.81,7
2020-04-21,Brasil,9.21,7.63,11.63,25
2020-04-21,Ceará,6.45,5.24,8.38,8
2020-04-21,Pernambuco,7.18,6.2,8.52,9
2020-04-21,Rio de Janeiro,7.74,6.3,10.04,14
2020-04-21,São Paulo,12.94,10.02,18.26,23
2020-04-22,Amazonas,8.63,6.56,12.61,8
2020-04-22,Brasil,10.64,9.02,12.97,26
2020-04-22,Ceará,7.07,5.58,9.66,9
2020-04-22,Pernambuco,7.76,6.81,9.01,10
2020-04-22,Rio de Janeiro,8.98,7.39,11.44,15
2020-04-22,São Paulo,15.82,12.74,20.85,24
2020-04-23,Amazonas,9.72,7.85,12.75,9
2020-04-23,Brasil,10.52,8.83,13.02,27
2020-04-23,Ceará,7.94,6.77,9.59,10
2020-04-23,Pernambuco,8.17,7.52,8.95,11
2020-04-23,Rio de Janeiro,10.05,8.79,11.73,16
2020-04-23,São Paulo,13.32,9.36,23.08,25
2020-04-24,Amazonas,9.73,7.86,12.76,10
2020-04-24,Brasil,9.44,7.62,12.4,28
2020-04-24,Ceará,8.39,7.34,9.78,11
2020-04-24,Pernambuco,7.63,6.85,8.61,12
2020-04-24,Rio de Janeiro,10.41,9.31,11.81,17
2020-04-24,São Paulo,10.11,7.04,17.94,26
2020-04-25,Amazonas,8.82,6.97,12,11
2020-04-25,Brasil,8.2,6.93,10.05,29
2020-04-25,Ceará,7.87,7.17,8.71,12
2020-04-25,Pernambuco,7.18,6.8,7.62,13
2020-04-25,Rio de Janeiro,9.63,9.11,10.21,18
2020-04-25,São Paulo,7.92,6.07,11.39,27
