Data,Acre,Alagoas,Amapá,Amazonas,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Pará,Paraíba,Paraná,Pernambuco,Piauí,Rio de Janeiro,Rio Grande do Norte,Rio Grande do Sul,Rondônia,Roraima,Santa Catarina,São Paulo,Sergipe,Tocantins
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0
2020-03-06,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0
2020-03-07,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0
2020-03-08,0,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,16,0,0
2020-03-09,0,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,16,0,0
2020-03-10,0,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,8,0,1,0,0,0,19,0,0
2020-03-11,0,1,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,13,0,2,0,0,0,30,0,0
2020-03-12,0,1,0,0,2,0,2,1,0,0,0,0,1,0,0,6,2,0,16,0,4,0,0,0,42,0,0
2020-03-13,0,1,0,0,2,0,2,1,3,0,0,0,2,0,0,6,2,0,16,1,4,0,0,2,56,0,0
2020-03-14,0,1,0,0,2,0,6,1,3,0,0,0,2,0,0,6,2,0,22,1,6,0,0,4,65,0,0
2020-03-15,0,1,0,1,2,0,8,1,3,0,0,0,2,0,0,6,2,0,24,1,6,0,0,6,136,1,0
2020-03-16,0,1,0,1,2,0,13,1,3,0,0,2,5,0,0,6,2,0,31,1,6,0,0,7,152,1,0
2020-03-17,0,1,0,1,3,5,22,1,6,0,0,4,7,0,0,6,16,0,33,1,10,0,0,7,164,4,0
2020-03-18,0,1,0,1,3,9,26,9,8,0,0,7,15,0,0,13,16,0,45,1,19,0,0,10,240,5,0
2020-03-19,3,4,0,3,30,20,42,11,12,0,0,7,29,1,1,23,28,0,65,1,28,0,0,20,286,6,1
2020-03-20,7,5,1,3,33,55,87,13,15,0,1,9,35,2,1,32,30,3,109,1,37,1,0,21,396,6,1
2020-03-21,9,7,1,11,41,68,100,26,20,1,2,16,38,2,1,43,30,4,119,6,60,1,0,51,459,10,2
2020-03-22,11,7,1,26,49,112,117,26,21,2,2,21,83,4,1,50,37,4,186,9,72,3,2,57,631,10,2
2020-03-23,11,7,1,32,63,163,133,29,23,2,2,21,128,5,2,56,42,6,233,13,86,3,2,68,745,10,5
2020-03-24,17,9,1,47,76,182,160,33,27,8,7,23,130,5,3,65,42,6,305,13,98,3,2,107,810,15,7
2020-03-25,23,11,1,54,84,200,160,39,29,8,8,24,133,7,3,81,46,8,370,14,123,5,8,109,862,16,7
2020-03-26,24,11,2,67,104,235,200,39,39,10,11,25,153,13,5,102,48,9,421,19,168,5,8,122,1052,16,7
2020-03-27,25,11,2,81,115,282,230,47,49,13,11,28,189,13,9,119,56,9,493,28,195,6,10,149,1223,16,8
2020-03-28,25,14,4,111,128,314,260,53,56,14,13,31,205,17,14,133,68,11,558,45,197,6,12,184,1406,16,9
2020-03-29,34,17,4,140,154,348,289,60,58,16,16,36,231,18,14,148,73,14,600,68,226,6,16,194,1451,16,9
2020-03-30,42,17,8,151,176,372,312,72,61,23,18,44,261,21,15,155,78,16,657,77,241,6,16,197,1517,16,10
2020-03-31,42,18,10,175,213,390,332,84,65,31,25,48,275,32,17,179,87,18,708,82,274,8,16,219,2339,19,11
2020-04-01,43,18,11,200,246,444,355,96,71,54,27,51,314,40,20,224,95,18,832,92,306,9,22,235,2981,20,12
2020-04-02,43,18,11,229,267,550,370,120,73,71,36,53,370,46,21,252,106,19,992,105,334,10,26,247,3506,23,12
2020-04-03,46,22,19,260,282,627,402,139,88,81,44,60,397,50,29,301,136,21,1074,176,396,10,30,281,4048,25,12
2020-04-04,46,23,28,311,332,730,454,153,103,88,56,62,430,80,32,395,176,22,1246,212,410,11,37,334,4466,27,14
2020-04-05,48,28,29,417,401,823,468,166,115,96,60,65,498,86,34,438,201,23,1394,242,418,12,42,357,4620,32,17
2020-04-06,50,31,34,532,431,1013,473,194,119,133,76,66,525,102,35,458,223,23,1461,246,481,14,42,379,4866,32,17
2020-04-07,50,32,48,636,456,1051,492,209,133,172,78,80,559,138,36,503,352,28,1688,254,508,18,42,417,5682,36,19
2020-04-08,54,37,107,804,497,1291,509,227,158,230,90,85,614,167,41,539,401,31,1938,261,555,18,49,457,6708,36,23
2020-04-09,62,37,128,899,559,1425,527,273,179,273,108,89,655,168,55,609,555,38,2216,261,618,28,52,501,7480,39,23
2020-04-10,70,45,166,981,604,1478,555,300,191,293,112,97,698,170,79,643,684,40,2464,263,636,32,63,693,8216,42,23
2020-04-11,72,48,193,1050,635,1582,579,349,209,344,121,100,750,217,85,676,816,41,2607,289,640,33,75,732,8419,42,23
2020-04-12,77,48,230,1206,673,1676,614,383,229,398,123,101,806,246,101,738,960,44,2855,302,653,35,79,768,8755,44,25
2020-04-13,90,50,242,1275,723,1800,638,430,233,445,134,113,815,270,111,756,1154,50,3231,339,664,42,83,777,8895,44,26
2020-04-14,99,72,307,1484,759,2005,651,463,284,478,138,115,884,323,136,791,1284,58,3410,376,700,64,113,826,9371,45,26
2020-04-15,101,82,334,1554,807,2157,682,557,304,630,151,121,903,384,136,803,1484,75,3743,399,747,69,114,826,11043,46,26
2020-04-16,110,89,362,1719,951,2386,716,754,318,695,156,131,958,438,165,832,1683,91,3944,400,780,76,142,884,11568,48,29
2020-04-17,135,110,370,1809,1059,2684,746,856,335,797,162,143,1021,557,195,874,2006,102,4349,463,802,92,164,926,12841,53,31
2020-04-18,142,132,393,1897,1193,3034,762,952,378,1040,171,161,1077,640,205,945,2193,123,4543,516,831,110,201,962,13894,71,33
